"SYMBOL","STRING_id"
"ADAM30","9606.ENSP00000358407"
"ADAM33","9606.ENSP00000348912"
"ADAM8","9606.ENSP00000453302"
"ADAM9","9606.ENSP00000419446"
"ADAMTS1","9606.ENSP00000284984"
"ADAMTS10","9606.ENSP00000270328"
"ADAMTS12","9606.ENSP00000422554"
"ADAMTS14","9606.ENSP00000362304"
"ADAMTS18","9606.ENSP00000282849"
"ADAMTS2","9606.ENSP00000251582"
"ADAMTS3","9606.ENSP00000286657"
"ADAMTS4","9606.ENSP00000356975"
"ADAMTS5","9606.ENSP00000284987"
"ADAMTS7","9606.ENSP00000373472"
"ADAMTS8","9606.ENSP00000257359"
"ADAMTS9","9606.ENSP00000418735"
"ADAMTSL1","9606.ENSP00000369921"
"ADAMTSL2","9606.ENSP00000346478"
"ADAMTSL4","9606.ENSP00000271643"
"ADAR","9606.ENSP00000357459"
"ADARB1","9606.ENSP00000353920"
"ADARB2","9606.ENSP00000370713"
"ADAT1","9606.ENSP00000310015"
"ADC","9606.ENSP00000294517"
"ADCK1","9606.ENSP00000238561"
"ADCK2","9606.ENSP00000072869"
"ADCK4","9606.ENSP00000315118"
"ADCK5","9606.ENSP00000310547"
"ADCY1","9606.ENSP00000297323"
"ADCY2","9606.ENSP00000342952"
"ADCY3","9606.ENSP00000260600"
"ADCY4","9606.ENSP00000312126"
"ADCY5","9606.ENSP00000419361"
"ADCY6","9606.ENSP00000311405"
"ADCY7","9606.ENSP00000254235"
"ADCY8","9606.ENSP00000286355"
"ADCY9","9606.ENSP00000294016"
"ADCYAP1","9606.ENSP00000411658"
"ADCYAP1R1","9606.ENSP00000379514"
"ADD1","9606.ENSP00000264758"
"ADD2","9606.ENSP00000264436"
"ADD3","9606.ENSP00000348381"
"ADFP","9606.ENSP00000276914"
"ADH1A","9606.ENSP00000209668"
"ADH1B","9606.ENSP00000306606"
"ADH4","9606.ENSP00000265512"
"ADH5","9606.ENSP00000296412"
"ADH6","9606.ENSP00000378359"
"ADH7","9606.ENSP00000420269"
"ADHFE1","9606.ENSP00000379865"
"ADI1","9606.ENSP00000333666"
"ADIPOQ","9606.ENSP00000320709"
"ADIPOR1","9606.ENSP00000341785"
"ADIPOR2","9606.ENSP00000349616"
"ADK","9606.ENSP00000286621"
"ADM","9606.ENSP00000278175"
"ADM2","9606.ENSP00000379086"
"ADMR","9606.ENSP00000300098"
"ADNP","9606.ENSP00000342905"
"ADORA1","9606.ENSP00000308549"
"ADORA2A","9606.ENSP00000336630"
"ADORA2B","9606.ENSP00000304501"
"ADORA3","9606.ENSP00000358730"
"ADPGK","9606.ENSP00000312250"
"ADPN","9606.ENSP00000216180"
"ADPRHL2","9606.ENSP00000362273"
"ADRA1A","9606.ENSP00000369960"
"ADRA1B","9606.ENSP00000306662"
"ADRA1D","9606.ENSP00000368766"
"ADRA2A","9606.ENSP00000280155"
"ADRA2B","9606.ENSP00000387281"
"ADRA2C","9606.ENSP00000386069"
"ADRB1","9606.ENSP00000358301"
"ADRB2","9606.ENSP00000305372"
"ADRB3","9606.ENSP00000343782"
"ADRBK1","9606.ENSP00000312262"
"ADRBK2","9606.ENSP00000317578"
"ADRM1","9606.ENSP00000253003"
"ADSL","9606.ENSP00000216194"
"ADSS","9606.ENSP00000355493"
"ADSSL1","9606.ENSP00000333019"
"AEBP1","9606.ENSP00000223357"
"AEBP2","9606.ENSP00000381840"
"AER61","9606.ENSP00000295571"
"AES","9606.ENSP00000221561"
"AFAP","9606.ENSP00000371983"
"AFF1","9606.ENSP00000378578"
"AFF3","9606.ENSP00000348793"
"AFF4","9606.ENSP00000265343"
"AFG3L2","9606.ENSP00000269143"
"AFMID","9606.ENSP00000328938"
"AFP","9606.ENSP00000379138"
"AFTIPHILIN","9606.ENSP00000238855"
"AGA","9606.ENSP00000264595"
"AGBL3","9606.ENSP00000388275"
"AGC1","9606.ENSP00000387356"
"AGER","9606.ENSP00000364217"
"AGGF1","9606.ENSP00000316109"
"AGL","9606.ENSP00000294724"
"AGMAT","9606.ENSP00000364986"
"AGPAT1","9606.ENSP00000337463"
"AGPAT2","9606.ENSP00000360761"
"AGPAT3","9606.ENSP00000291572"
"AGPAT4","9606.ENSP00000314036"
"AGPAT5","9606.ENSP00000285518"
"AGPAT6","9606.ENSP00000380184"
"AGPAT7","9606.ENSP00000317300"
"AGPS","9606.ENSP00000264167"
"AGR2","9606.ENSP00000391490"
"AGRN","9606.ENSP00000368678"
"AGRP","9606.ENSP00000290953"
"AGT","9606.ENSP00000355627"
"AGTR1","9606.ENSP00000273430"
"AGTR2","9606.ENSP00000360973"
"AGTRAP","9606.ENSP00000319713"
"AGTRL1","9606.ENSP00000257254"
"AGXT","9606.ENSP00000302620"
"AGXT2","9606.ENSP00000231420"
"AGXT2L1","9606.ENSP00000296486"
"AHCTF1","9606.ENSP00000355465"
"AHCY","9606.ENSP00000217426"
"AHI1","9606.ENSP00000265602"
"AHNAK","9606.ENSP00000367263"
"AHR","9606.ENSP00000242057"
"AHRR","9606.ENSP00000323816"
"AHSA1","9606.ENSP00000216479"
"AHSA2","9606.ENSP00000349525"
"AHSG","9606.ENSP00000393887"
"AICDA","9606.ENSP00000229335"
"AIF1","9606.ENSP00000365227"
"AIM1","9606.ENSP00000358062"
"AIM2","9606.ENSP00000357112"
"AIP","9606.ENSP00000279146"
"AIPL1","9606.ENSP00000370521"
"AIRE","9606.ENSP00000291582"
"AJAP1","9606.ENSP00000367432"
"AK1","9606.ENSP00000362249"
"AK2","9606.ENSP00000346921"
"AK3","9606.ENSP00000371230"
"AK3L1","9606.ENSP00000322175"
"AK5","9606.ENSP00000346577"
"AK7","9606.ENSP00000267584"
"AKAP1","9606.ENSP00000337736"
"AKAP10","9606.ENSP00000225737"
"AKAP11","9606.ENSP00000025301"
"AKAP12","9606.ENSP00000253332"
"AKAP13","9606.ENSP00000354718"
"AKAP14","9606.ENSP00000360485"
"AKAP2","9606.ENSP00000451476"
"AKAP3","9606.ENSP00000228850"
"AKAP4","9606.ENSP00000351327"
"AKAP5","9606.ENSP00000315615"
"AKAP6","9606.ENSP00000280979"
"AKAP7","9606.ENSP00000405252"
"AKAP8","9606.ENSP00000269701"
"AKAP8L","9606.ENSP00000380557"
"AKAP9","9606.ENSP00000348573"
"AKNA","9606.ENSP00000303769"
"AKR1A1","9606.ENSP00000312606"
"AKR1B1","9606.ENSP00000285930"
"AKR1B10","9606.ENSP00000352584"
"AKR1C2","9606.ENSP00000370129"
"AKR1C3","9606.ENSP00000369927"
"AKR1D1","9606.ENSP00000242375"
"AKR7A2","9606.ENSP00000235835"
"AKR7A3","9606.ENSP00000355377"
"AKT1","9606.ENSP00000270202"
"AKT1S1","9606.ENSP00000341698"
"AKT2","9606.ENSP00000375892"
"AKT3","9606.ENSP00000263826"
"ALAD","9606.ENSP00000386284"
"ALAS1","9606.ENSP00000309259"
"ALAS2","9606.ENSP00000332369"
"ALB","9606.ENSP00000295897"
"ALCAM","9606.ENSP00000305988"
"ALDH16A1","9606.ENSP00000293350"
"ALDH18A1","9606.ENSP00000360268"
"ALDH1A1","9606.ENSP00000297785"
"ALDH1A2","9606.ENSP00000249750"
"ALDH1A3","9606.ENSP00000332256"
"ALDH1B1","9606.ENSP00000366927"
"ALDH1L1","9606.ENSP00000377083"
"ALDH1L2","9606.ENSP00000258494"
"ALDH2","9606.ENSP00000261733"
"ALDH3A1","9606.ENSP00000225740"
"ALDH3A2","9606.ENSP00000345774"
"ALDH3B2","9606.ENSP00000255084"
"ALDH4A1","9606.ENSP00000290597"
"ALDH5A1","9606.ENSP00000314649"
"ALDH6A1","9606.ENSP00000450436"
"ALDH7A1","9606.ENSP00000387123"
"ALDH8A1","9606.ENSP00000265605"
"ALDH9A1","9606.ENSP00000346827"
"ALDOA","9606.ENSP00000336927"
"ALDOB","9606.ENSP00000363988"
"ALDOC","9606.ENSP00000226253"
"ALF","9606.ENSP00000311493"
"ALG1","9606.ENSP00000262374"
"ALG10","9606.ENSP00000266483"
"ALG12","9606.ENSP00000333813"
"ALG14","9606.ENSP00000359224"
"ALG2","9606.ENSP00000417764"
"ALG3","9606.ENSP00000380793"
"ALG5","9606.ENSP00000239891"
"ALG6","9606.ENSP00000360149"
"ALG8","9606.ENSP00000299626"
"ALG9","9606.ENSP00000435517"
"ALK","9606.ENSP00000373700"
"ALKBH1","9606.ENSP00000216489"
"ALKBH2","9606.ENSP00000343021"
"ALKBH3","9606.ENSP00000302232"
"ALKBH4","9606.ENSP00000292566"
"ALKBH5","9606.ENSP00000382091"
"ALKBH6","9606.ENSP00000368152"
"ALKBH7","9606.ENSP00000245812"
"ALKBH8","9606.ENSP00000374219"
"ALLC","9606.ENSP00000252505"
"ALMS1","9606.ENSP00000264448"
"ALOX12","9606.ENSP00000251535"
"ALOX12B","9606.ENSP00000315167"
"ALOX15","9606.ENSP00000293761"
"ALOX15B","9606.ENSP00000369530"
"ALOX5","9606.ENSP00000363512"
"ALOX5AP","9606.ENSP00000369858"
"ALOXE3","9606.ENSP00000314879"
"ALPI","9606.ENSP00000295463"
"ALPK2","9606.ENSP00000354991"
"ALPK3","9606.ENSP00000258888"
"ALPL","9606.ENSP00000363965"
"ALPP","9606.ENSP00000375881"
"ALPPL2","9606.ENSP00000295453"
"ALS2","9606.ENSP00000264276"
"ALS2CL","9606.ENSP00000313670"
"ALS2CR12","9606.ENSP00000286190"
"ALS2CR19","9606.ENSP00000351618"
"ALS2CR2","9606.ENSP00000194530"
"ALS2CR7","9606.ENSP00000260967"
"ALX3","9606.ENSP00000358807"
"ALX4","9606.ENSP00000332744"
"AMAC1L2","9606.ENSP00000371872"
"AMACR","9606.ENSP00000371517"
"AMBN","9606.ENSP00000313809"
"AMBP","9606.ENSP00000265132"
"AMD1","9606.ENSP00000357880"
"AMDHD1","9606.ENSP00000266736"
"AMDHD2","9606.ENSP00000391596"
"AMELX","9606.ENSP00000370088"
"AMELY","9606.ENSP00000215479"
"AMFR","9606.ENSP00000290649"
"AMH","9606.ENSP00000221496"
"AMHR2","9606.ENSP00000257863"
"AMICA1","9606.ENSP00000348635"
"AMID","9606.ENSP00000312370"
"AMIGO1","9606.ENSP00000358878"
"AMIGO3","9606.ENSP00000323096"
"AMMECR1","9606.ENSP00000262844"
"AMN","9606.ENSP00000299155"
"AMOT","9606.ENSP00000361027"
"AMOTL1","9606.ENSP00000387739"
"AMOTL2","9606.ENSP00000249883"
"AMPD1","9606.ENSP00000430075"
"AMPD2","9606.ENSP00000256578"
"AMPD3","9606.ENSP00000379802"
"AMPH","9606.ENSP00000348602"
"AMT","9606.ENSP00000273588"
"AMY1A","9606.ENSP00000330484"
"AMY1B","9606.ENSP00000359100"
"AMY2A","9606.ENSP00000397582"
"AMY2B","9606.ENSP00000354610"
"ANAPC1","9606.ENSP00000339109"
"ANAPC10","9606.ENSP00000310071"
"ANAPC11","9606.ENSP00000349957"
"ANAPC13","9606.ENSP00000331368"
"ANAPC2","9606.ENSP00000314004"
"ANAPC4","9606.ENSP00000318775"
"ANAPC5","9606.ENSP00000357986"
"ANAPC7","9606.ENSP00000394394"
"ANG","9606.ENSP00000336762"
"ANGEL1","9606.ENSP00000251089"
"ANGEL2","9606.ENSP00000355929"
"ANGPT1","9606.ENSP00000428340"
"ANGPT2","9606.ENSP00000314897"
"ANGPT4","9606.ENSP00000371347"
"ANGPTL1","9606.ENSP00000234816"
"ANGPTL2","9606.ENSP00000362524"
"ANGPTL3","9606.ENSP00000360170"
"ANGPTL4","9606.ENSP00000301455"
"ANK1","9606.ENSP00000265709"
"ANK2","9606.ENSP00000349588"
"ANK3","9606.ENSP00000280772"
"ANKFN1","9606.ENSP00000321627"
"ANKFY1","9606.ENSP00000459775"
"ANKH","9606.ENSP00000284268"
"ANKHD1","9606.ENSP00000297183"
"ANKIB1","9606.ENSP00000265742"
"ANKK1","9606.ENSP00000306678"
"ANKMY1","9606.ENSP00000272972"
"ANKMY2","9606.ENSP00000303570"
"ANKRA2","9606.ENSP00000296785"
"ANKRD1","9606.ENSP00000360762"
"ANKRD11","9606.ENSP00000301030"
"ANKRD12","9606.ENSP00000262126"
"ANKRD13","9606.ENSP00000261739"
"ANKRD13B","9606.ENSP00000378328"
"ANKRD13C","9606.ENSP00000359982"
"ANKRD13D","9606.ENSP00000427130"
"ANKRD15","9606.ENSP00000371734"
"ANKRD17","9606.ENSP00000351416"
"ANKRD2","9606.ENSP00000306163"
"ANKRD23","9606.ENSP00000321679"
"ANKRD27","9606.ENSP00000304292"
"ANKRD28","9606.ENSP00000382379"
"ANKRD32","9606.ENSP00000265140"
"ANKRD33","9606.ENSP00000301190"
"ANKRD35","9606.ENSP00000347802"
"ANKRD38","9606.ENSP00000360195"
"ANKRD41","9606.ENSP00000377971"
"ANKRD42","9606.ENSP00000377051"
"ANKRD44","9606.ENSP00000387233"
"ANKRD45","9606.ENSP00000331268"
"ANKRD46","9606.ENSP00000335287"
"ANKRD49","9606.ENSP00000303518"
"ANKRD52","9606.ENSP00000267116"
"ANKRD6","9606.ENSP00000345767"
"ANKS1A","9606.ENSP00000353518"
"ANKS1B","9606.ENSP00000449629"
"ANKS3","9606.ENSP00000304586"
"ANKS4B","9606.ENSP00000308772"
"ANKS6","9606.ENSP00000297837"
"ANKZF1","9606.ENSP00000321617"
"ANLN","9606.ENSP00000265748"
"ANP32A","9606.ENSP00000417864"
"ANP32B","9606.ENSP00000345848"
"ANP32E","9606.ENSP00000324074"
"ANPEP","9606.ENSP00000300060"
"ANTXR1","9606.ENSP00000301945"
"ANTXR2","9606.ENSP00000306185"
"ANUBL1","9606.ENSP00000339484"
"ANXA1","9606.ENSP00000257497"
"ANXA10","9606.ENSP00000352248"
"ANXA11","9606.ENSP00000265447"
"ANXA13","9606.ENSP00000262219"
"ANXA2","9606.ENSP00000346032"
"ANXA3","9606.ENSP00000264908"
"ANXA4","9606.ENSP00000377833"
"ANXA5","9606.ENSP00000296511"
"ANXA6","9606.ENSP00000346550"
"ANXA7","9606.ENSP00000362010"
"ANXA8","9606.ENSP00000341674"
"AOC2","9606.ENSP00000253799"
"AOC3","9606.ENSP00000312326"
"AOF1","9606.ENSP00000297792"
"AOF2","9606.ENSP00000383042"
"AOX1","9606.ENSP00000363832"
"AP1B1","9606.ENSP00000350199"
"AP1G1","9606.ENSP00000377148"
"AP1G2","9606.ENSP00000312442"
"AP1GBP1","9606.ENSP00000343610"
"AP1M1","9606.ENSP00000388996"
"AP1M2","9606.ENSP00000250244"
"AP1S1","9606.ENSP00000336666"
"AP1S2","9606.ENSP00000328789"
"AP1S3","9606.ENSP00000379891"
"AP2A1","9606.ENSP00000351926"
"AP2A2","9606.ENSP00000413234"
"AP2B1","9606.ENSP00000314414"
"AP2M1","9606.ENSP00000292807"
"AP2S1","9606.ENSP00000263270"
"AP3B1","9606.ENSP00000255194"
"AP3B2","9606.ENSP00000261722"
"AP3D1","9606.ENSP00000344055"
"AP3M1","9606.ENSP00000347408"
"AP3M2","9606.ENSP00000174653"
"AP3S1","9606.ENSP00000325369"
"AP3S2","9606.ENSP00000338777"
"AP4B1","9606.ENSP00000256658"
"AP4E1","9606.ENSP00000261842"
"AP4M1","9606.ENSP00000352603"
"AP4S1","9606.ENSP00000216366"
"APAF1","9606.ENSP00000448165"
"APBA1","9606.ENSP00000265381"
"APBA2","9606.ENSP00000453144"
"APBA2BP","9606.ENSP00000246190"
"APBA3","9606.ENSP00000315136"
"APBB1","9606.ENSP00000299402"
"APBB1IP","9606.ENSP00000365411"
"APBB2","9606.ENSP00000427211"
"APBB3","9606.ENSP00000346378"
"APC","9606.ENSP00000257430"
"APC2","9606.ENSP00000233607"
"APCDD1","9606.ENSP00000347433"
"APCS","9606.ENSP00000255040"
"APEG1","9606.ENSP00000311684"
"APEH","9606.ENSP00000296456"
"APEX1","9606.ENSP00000216714"
"APEX2","9606.ENSP00000364126"
"APH1A","9606.ENSP00000358105"
"APH1B","9606.ENSP00000261879"
"API5","9606.ENSP00000431391"
"APIN","9606.ENSP00000379401"
"APIP","9606.ENSP00000379133"
"APITD1","9606.ENSP00000308583"
"APLN","9606.ENSP00000305464"
"APLP1","9606.ENSP00000221891"
"APLP2","9606.ENSP00000263574"
"APOA1","9606.ENSP00000236850"
"APOA1BP","9606.ENSP00000357218"
"APOA2","9606.ENSP00000356969"
"APOA4","9606.ENSP00000350425"
"APOA5","9606.ENSP00000227665"
"APOB","9606.ENSP00000233242"
"APOBEC1","9606.ENSP00000229304"
"APOBEC3B","9606.ENSP00000327459"
"APOBEC3C","9606.ENSP00000355340"
"APOBEC3D","9606.ENSP00000216099"
"APOBEC3F","9606.ENSP00000309749"
"APOBEC3G","9606.ENSP00000385057"
"APOBEC4","9606.ENSP00000310622"
"APOC1","9606.ENSP00000252491"
"APOC3","9606.ENSP00000227667"
"APOD","9606.ENSP00000345179"
"APOE","9606.ENSP00000252486"
"APOF","9606.ENSP00000381250"
"APOH","9606.ENSP00000205948"
"APOL1","9606.ENSP00000317674"
"APOL2","9606.ENSP00000249066"
"APOL4","9606.ENSP00000338260"
"APOL5","9606.ENSP00000249044"
"APOL6","9606.ENSP00000386280"
"APOLD1","9606.ENSP00000324277"
"APP","9606.ENSP00000284981"
"APPBP1","9606.ENSP00000290810"
"APPBP2","9606.ENSP00000083182"
"APPL","9606.ENSP00000288266"
"APRIN","9606.ENSP00000313851"
"APRT","9606.ENSP00000367615"
"APS","9606.ENSP00000440273"
"APTX","9606.ENSP00000369141"
"APXL","9606.ENSP00000370299"
"AQP1","9606.ENSP00000311165"
"AQP10","9606.ENSP00000318355"
"AQP11","9606.ENSP00000318770"
"AQP2","9606.ENSP00000199280"
"AQP3","9606.ENSP00000297991"
"AQP4","9606.ENSP00000372654"
"AQP5","9606.ENSP00000293599"
"AQP6","9606.ENSP00000320247"
"AQP7","9606.ENSP00000297988"
"AQP8","9606.ENSP00000219660"
"AQP9","9606.ENSP00000219919"
"AQR","9606.ENSP00000156471"
"AR","9606.ENSP00000363822"
"ARAF","9606.ENSP00000366244"
"ARC","9606.ENSP00000349022"
"ARCN1","9606.ENSP00000264028"
"AREG","9606.ENSP00000370227"
"ARF1","9606.ENSP00000272102"
"ARF3","9606.ENSP00000256682"
"ARF4","9606.ENSP00000306010"
"ARF5","9606.ENSP00000000233"
"ARF6","9606.ENSP00000298316"
"ARFGAP1","9606.ENSP00000314615"
"ARFGAP3","9606.ENSP00000263245"
"ARFGEF1","9606.ENSP00000262215"
"ARFGEF2","9606.ENSP00000360985"
"ARFIP1","9606.ENSP00000296557"
"ARFIP2","9606.ENSP00000254584"
"ARFRP1","9606.ENSP00000326884"
"ARG1","9606.ENSP00000357066"
"ARG2","9606.ENSP00000261783"
"ARHGAP1","9606.ENSP00000310491"
"ARHGAP10","9606.ENSP00000336923"
"ARHGAP11A","9606.ENSP00000355090"
"ARHGAP12","9606.ENSP00000345808"
"ARHGAP15","9606.ENSP00000295095"
"ARHGAP17","9606.ENSP00000289968"
"ARHGAP18","9606.ENSP00000275189"
"ARHGAP19","9606.ENSP00000351333"
"ARHGAP20","9606.ENSP00000260283"
"ARHGAP21","9606.ENSP00000379709"
"ARHGAP22","9606.ENSP00000249601"
"ARHGAP23","9606.ENSP00000393539"
"ARHGAP24","9606.ENSP00000378611"
"ARHGAP25","9606.ENSP00000386911"
"ARHGAP26","9606.ENSP00000274498"
"ARHGAP27","9606.ENSP00000366121"
"ARHGAP28","9606.ENSP00000313506"
"ARHGAP29","9606.ENSP00000260526"
"ARHGAP30","9606.ENSP00000356992"
"ARHGAP4","9606.ENSP00000359045"
"ARHGAP5","9606.ENSP00000371897"
"ARHGAP6","9606.ENSP00000338967"
"ARHGAP8","9606.ENSP00000320924"
"ARHGAP9","9606.ENSP00000377380"
